id	name	parent_id
722	death	146
614	storm	77
6952	mason	124
3186	vine	72
1327	sea monster	63
3745	winged horse	63
2155	smiling	177
1416	shock	31
10069	singing	53
265	dove	62
1817	despair	31
3156	teacher	121
1393	pope	120
743	garden	18
3847	humility	31
6191	pride	31
6727	wisdom	31
6914	widow	6904
3256	kitchen	41
1306	poverty	156
6973	vineyard	71
4829	wedding breakfast	48
11148	planting	117
6583	virgin	157
2127	rope	287
6922	father and child	6904
6913	son	6904
4306	window, stained glass	17
10942	pharoah	869
1408	snake	68
6217	water-lily	72
940	happiness	31
8841	sculpture, Egyptian	80
3832	office	46
3517	statue	21
1831	palm	1809
2837	harvesting	117
1454	woman, old	95
1698	stream	76
2919	peacock	62
1714	vision	444
6764	foolishness	31
4989	terrace	17
732	bedroom	41
649	sculpture, classical	80
4898	stonework	17
3658	pilgrimage	120
5743	procession	5731
11167	justice - woman with sword and scales	8024
204	painting	80
6644	sunbeam	77
1628	skeleton	93
650	path	28
5445	waterwheel	86
5212	military	27
5988	gun, rifle	90
10324	nymph	141
6876	pine	1809
6874	trunk, blasted	1809
800	wind	77
2104	wave	73
5656	shipwreck	161
2042	pier	28
946	watermill	19
8186	crypt	45
1519	beach	73
1535	sunset	75
5345	sadness	31
3302	goatherd	117
8400	peat cutter	117
4564	torch	85
881	glacier	71
880	mountain	71
2419	pelican	62
3054	hallway	41
3050	sex	157
808	politician - non-specific	130
4672	tea pot	84
839	couch	82
206	studio	46
1208	seagull	62
2835	paintbrush	80
199	palette	80
1214	wombat	67
847	caricature	158
1400	rain	77
2332	heathland	71
775	cat	67
5930	transformation	30
13791	stork	62
221	figure	189
450	workshop	46
4627	mouse	67
5004	tailor	124
2799	sewing	119
497	winter	74
210	streetlight	28
213	house	26
1937	laundry	83
2314	willow	1809
913	waterfall	76
13637	quarry	19
1048	square	28
1585	arm	93
2362	marriage	157
2369	plant	72
1434	queen	869
700	wall	17
8376	name of place	166
2575	tub	170
4428	tool	86
2191	ox	67
1297	wood	287
6004	shell	64
1254	carriage	160
2802	sweeping	119
1522	wrestling	54
2302	umbrella	88
8493	bundle	287
2378	ribbon	88
750	chair	82
3242	ship, steam	161
2533	spade	79
3606	well	28
243	boat, gondola	161
5651	rake	79
2113	friar / monk	120
2187	milkmaid	117
1963	shawl	88
723	lying down	92
1142	hay	79
4673	tray	83
2848	robe	88
12739	yoke	86
1207	boat, barge	161
2172	breast feeding	146
544	embracing	177
2095	fishing net	79
479	veil	88
4219	manger	79
257	saw	86
2648	sculpture	80
1964	pansy	72
4943	tulip	72
2422	daisy	72
755	grass	72
4574	sky	71
3419	headband	88
2217	necklace	88
7278	jumper	88
4712	shirt	88
17764	sailing	52
1731	reflection	70
9328	photographic	6729
9024	repetition	6729
6741	visual illusion	6729
225	colour	185
227	gestural	185
796	irregular forms	185
9663	monochromatic	185
226	geometric	185
19508	gestural	6729
17629	scale	6729
3592	war	158
4490	pyramid	21
203	spectacles	88
2472	number	166
11403	hallway	44
17639	life and death - butterfly	164
445	text	185
6931	urban environment	6927
11845	silhouette	6729
8577	texture	6729
5406	instrument, bell	80
7205	structure	19
5164	vacuum cleaner	81
12910	high art	6927
4063	consumerism	158
2476	contemporary society	158
11196	sphere	287
8056	protection - felt	163
1995	life - fat	164
1284	box	170
1982	notes and diagrams	166
986	wounded	178
223	landscape	189
17996	period: Ice Age	38
1283	rose	72
11938	whale	65
17956	vitality	31
6744	movement	6729
3026	shamanism	444
7127	witch	138
5931	monument	21
17983	turbine	86
222	man-made	189
2415	swan	62
3180	theatre	53
1629	sexual organs	93
4048	contrast	30
18890	event: action, Joseph Beuys, 'Manresa', Schmela Gallery, Düsseldorf, 1966	18725
3123	roof	17
11714	defacement	6729
3826	photographer	118
846	suit	88
476	sunlight	77
17865	galaxy	69
1707	star	69
17774	universe	69
17862	web	64
5377	rainbow	70
9366	brush	83
211	wall	28
448	leaf	72
6749	symmetry	6729
3527	homosexuality	157
6742	purity	6729
6746	space	6729
6852	memory	31
856	plinth	80
1639	tie	88
2986	singer	118
6919	fragmentation	6729
2813	artist, sculptor	118
202	scarf	88
3448	tattoo	88
1296	plate	84
934	hand/hands raised	92
2448	skull	93
8482	blur	6729
12911	popular culture	6927
17201	syringe	171
18042	title of book / publication	166
4896	poster	174
821	music	166
2568	butterfly	66
1029	shoe	88
1347	cloud	77
9466	ice cream	286
1077	foot	93
11002	frame	80
2100	chicken	62
3678	patriotism	155
14784	belt	88
4154	brooch	88
1380	earring	88
6355	ring	88
4685	bracelet	88
629	jewellery	88
17322	skirt	88
7268	student	121
8424	pop music	6927
1725	taxi cab	160
5040	wig	88
11117	sunglasses	88
3405	quotation	166
499	name of artist	166
11206	interior - non-specific	44
3122	underwear	88
17878	vest	88
17870	interior	46
18050	drink, vodka	286
5443	humour	30
18869	event: Rain Dance Benefit, New York, 1985	18725
13199	projector	81
4606	head	64
1003	monkey	67
8532	hippopotamus	67
18017	walrus	67
998	waving	177
1795	medicine	171
3545	vulnerability	31
10188	dissection	149
18012	pathology	149
18011	pharmacology	149
7002	physiognomy	149
12390	dollar sign	166
6728	youth	146
6972	twins	6904
8453	sunbathing	52
17920	side show	53
17934	specimen	149
2223	waiter / waitress	180
16236	wealth	30
6006	transvestism	157
9489	stripper	118
2090	wallpaper	82
749	park	18
630	feather	64
8451	swimming costume	88
11100	knife	86
4408	letter of alphabet	166
4278	scissors	86
3288	sewing machine	86
18086	sucking thumb	175
18019	sculpture, Baroque	80
572	energy	30
1596	environment / nature	30
18016	regeneration	30
17863	contrast	6729
9329	diagrammatic	6729
6787	language	149
6726	mortality	146
17972	fat - creativity	1030
17971	fat - nourishment	1030
1998	felt	287
18198	energy - copper	1030
4438	political belief	155
4372	revolutionary	155
8559	bag	170
18199	scale	64
3672	spirituality	444
17979	maple	1809
17908	geyser	71
17978	reason - crystal	163
1876	fish	65
3598	heart	93
17975	socialism - bees	8028
8071	nature - woman	8026
13390	stone	287
17973	zinc	287
1286	newspaper - non-specific	174
5184	rabbit	67
17910	motor	86
17825	pylon	19
17963	protection - hat	163
17990	magnet	172
6951	stamp	166
17958	philosophy, Steiner	149
17954	warmth - yellow	1030
17955	spirituality - blue	165
18746	event: action, Joseph Beuys, 'I like America and America Likes Me', René Block Gallery, New York, 1974	18725
16419	newspaper, 'Wall Street Journal'	174
7942	science	149
17953	survival	30
4645	slate	287
6327	watering can	79
2892	water	70
10217	torture	147
18884	protests and unrest: Prague Spring reform programme, 1968	38
2959	invitation	174
218	snow	77
17464	exhibition	51
6829	stadium	23
10082	sledge	160
5319	van	160
19237	exhibition: 'Joseph Beuys, Multiplizierte Kunst', Wilhelm Hack Museum, Ludwigschafen, 1980	18725
18900	protests and unrest: anti-nuclear campaign	38
2289	village	28
8034	sequence	6729
18076	photographic negative	6729
20809	ship, warship, 'USS Alliance'	161
4637	politics: Nazi Germany, 1933-45	38
8149	observatory	24
5565	wheelchair	171
4277	estate	71
1012	country house	26
1832	branch	1809
2962	deer	67
2774	graveyard	28
1866	twisting	92
10325	putto	141
9798	gatehouse	26
457	farmland	71
1025	torso	93
10532	gladiator	123
2414	island	73
2285	rocky	73
936	foliage	72
244	arch	17
2711	abbey	25
214	chimney	17
8755	gable	17
805	building - non-specific	28
4527	spire	17
745	religious	27
4118	sedan chair	160
19620	weather vane	172
2045	railing	28
7451	theatre	23
509	Wales	113
465	church	25
4774	priory	25
1518	harbour	73
15952	flagpole	28
247	dock	28
564	running	92
480	male	98
245	column	17
1320	cross	169
2455	residential	27
1351	cliff	71
2063	artist's notes	166
9010	battlement	17
7757	coat of arms	169
4202	wheel	287
11010	marbles	52
1138	castle	20
241	column	21
7701	buttress	17
1727	cathedral	25
5850	chapel	25
1132	pig	67
874	tent	26
11495	gravestone / tomb	169
678	boat - non-specific	161
2354	mast	161
2987	bell tower	25
2111	medieval	22
13609	market	24
9035	winch	86
503	cottage	26
2942	gorge	71
2608	fish basket	79
11348	priory	45
558	coast	73
777	cliff	73
475	lake	76
5662	kiln	19
5060	bay	73
2943	cathedral	45
3357	oak	1809
2043	lighthouse	24
1792	smoke	70
7948	yew	1809
4309	industrial worker	124
819	dock	72
4932	wild boar	67
999	church	45
9873	transience - hour glass	164
1826	crane	86
2051	capital	17
3521	sleeping	61
2230	public house	23
8698	quarryman	124
540	night	75
3571	abbey	45
1567	seafront	28
8743	sea wall	28
6070	laundering	119
8123	Scottish Borders	114
4052	weir	76
1236	estuary	76
3082	instrument, organ	80
2261	sunrise	75
2400	lobster pot	79
1907	fire, open	85
8442	pulpit	169
5973	pew	82
1857	hospital	24
9109	scales	172
491	ivy	72
11481	hull	161
1163	ship, warship	161
9808	mill	19
8899	finial	17
945	bridge	15
7453	forge	19
2921	turkey	62
6243	machinery	86
2334	root	1809
2550	temple	25
625	landscape - non-specific	71
10991	royalty: George III's recovery, thanksgiving, 23 Apr 1789	38
1802	theatre	43
4279	forest	71
1181	poet	126
7712	cloisters	45
3937	bracken	72
3462	thistle	72
11917	briar	72
9678	aspen	1809
1257	shield	90
12084	weapon, firing / explosion	90
7563	river god	141
7585	river bed	76
4604	school	24
2765	goose	62
4687	floor	17
5852	chapel	45
7773	pavilion	18
5730	hall	44
7067	screen	17
4568	moonlight	69
3778	building	27
4389	skeleton	64
3771	viaduct	15
2087	bank	76
6199	volcano	71
8113	kilt	88
14869	horse chestnut	1809
5404	laurel	72
4488	burdock	72
868	helmet	88
2312	instrument, harp	80
514	classical	22
5826	ship, hulk	161
1927	palace	26
13022	poetry	6927
8952	fortification	20
8603	shed	46
1968	violence	30
11369	van Ruysdael, painting	10639
7503	monument	27
7658	shrine	25
714	hut	14
6609	triumphal arch	21
3557	picnic	48
1496	plough	79
5424	fleeing	177
15361	politics: William Tell, 14th c.	38
1399	lightning	77
13389	flood	77
2182	sail	161
1503	flying	92
1076	leg	93
3379	townscape	27
535	urn	17
5779	rigging	161
794	figure	98
15354	steward	119
688	farm labourer	117
548	servant	119
7825	ship, warship, 'HMS Victory'	161
6649	deck	161
3851	hall	41
5407	dragon	63
8920	sandbank	76
5207	pleading	177
7461	island	76
8749	sluice	28
8747	lock	28
8401	hedging and ditching	117
1830	stump	1809
6465	kettle	84
466	bush	72
1709	scythe	79
606	hunting	54
12091	studio	19
5192	shopping	119
12044	yard	19
1858	Greenwich, Royal Naval Hospital	9301
1151	dome	17
8585	fish hook	79
13149	water tower	19
2280	fishing	54
8432	gallery	41
5659	skylight	17
9335	gauge	172
681	morning	75
9331	map	166
7863	cypress	1809
5611	dog, pointer	67
3430	cradle	82
10452	pediment	17
5848	tunnel	28
2101	trough	79
15956	shroud	169
517	washing	175
6211	measurements	166
9101	time - old man	1030
806	summer	74
9102	meeting	155
1115	duck	62
4432	gamebird	62
10478	lying down	61
3183	parrot	62
1583	mantelpiece	17
2831	fir	1809
8338	library	41
4990	lamp	85
2571	fireplace	85
6005	avenue	28
4616	scientific instrument	172
3994	kingfisher	62
4911	moat	76
7723	summerhouse	18
3568	ceiling	17
240	canal	76
269	flower	72
11832	sorrel	72
4285	stile	28
1011	balustrade	17
675	cave	71
7650	rotunda	17
11833	strawberry	72
11834	marsh mallow	72
8962	wreath	169
7435	Rotterdam - non-specific	107
12268	Rotterdam, St Lawrence's Cathedral	107
2475	clothing	88
9016	turret	17
997	city wall	28
12270	Utrecht, Utrecht Cathedral	107
219	child	94
3398	lance	90
1719	Scotland	113
744	picture	80
3586	mace	90
11769	fresco	80
3791	scaffolding	28
3269	olive	1809
3140	fountain	18
9131	Milan, Milan Cathedral	107
4823	Venice, Piazza San Marco	107
6868	Venice, San Marco	107
3277	Venice, Doge's Palace	107
11808	Venice, Loggetta	107
11820	Venice, Torre dell'Orologio	107
8315	Venice, Molo	107
8367	Venice, Riva degli Schiavoni	107
5952	Venice, Zecca	107
2768	Venice - non-specific	107
237	Italy	108
2020	plaque	169
9914	Terni	107
246	arcade	17
1087	painting	51
11496	tomb	21
11829	place of entertainment	27
2761	relief	80
5213	urn	170
1461	vase	170
12912	muse	31
754	instrument, stringed	80
3874	satyr	142
1977	mask	88
11830	public and municipal	27
7893	bridge	27
6301	aqueduct	15
8241	cornice	17
7556	colonnade	17
5271	oven	84
10454	frieze	17
3730	temple	45
7314	Rome, St Peter's Church	107
5934	Rome, St Peter's Square	107
538	bird	62
2079	candlestick	85
13647	mathematics, Moxon	149
621	mathematics	149
7552	entablature	17
8638	tomb	45
6280	nettle	72
9910	battle	128
13382	crow's-nest	161
13383	marine	128
13872	ship, sailing, 'Royal George'	161
7099	royalty: George IV, visit to Edinburgh, Aug 1822	38
9159	stepping stones	76
12857	plantain	72
2990	digging	117
11111	parade	53
5442	buoy	287
7480	telescope	172
5512	fishing rod	79
1047	parasol	88
5929	drainpipe	17
5456	panelling	17
4945	dresser	82
2606	jar	170
4526	monastery	25
5193	meat	286
3080	parliament	24
3071	boat, yacht	161
3072	yachting	54
13402	ship, warship, 'HMS Melville'	161
3008	love	31
8731	breakwater	28
13171	Montefiascone - non-specific	107
13170	Orvieto, Orvieto Cathedral	107
13557	Lodi	107
11549	Turin, Palazzo Madama	107
13559	Milan, Piazza Fontana	107
7709	Woodstock, Blenheim Palace	115
9961	Virginia Water	115
12866	pagoda	18
823	factory	19
2609	anchor	161
8438	plasterwork	17
1617	musician	118
3729	tapestry	80
8802	toll station	24
2607	cave	73
5176	museum	24
2700	hotel	26
504	evening	75
8231	pet grooming	180
449	walking	52
5821	wave	76
3061	instrument, drum	80
3011	instrument, violin	80
7273	race course	23
7561	convent	25
1326	fire	70
10581	tench	65
10580	perch	65
10582	trout	65
7676	teal	62
10844	smuggler	125
1520	pheasant	62
7655	woodcock	62
16335	tide	73
2068	corbel	17
6379	firework display	53
14270	historical, Elizabethan	153
1702	niche	17
1152	courtyard	28
13884	Stirling, Church of the Holy Rude	115
2016	phrase	166
8799	dogfish	65
4796	policeman / policewoman	125
1069	drawing	51
11257	fork	79
3721	puppet show	53
2928	mourning	146
4147	water sprite	138
1253	funeral	146
3005	collapse	178
1332	spirit	444
6368	hour glass	172
11525	science, Galileo	149
2807	party	52
8420	prisoner	147
8118	exploration: Columbus, voyage to America, 1492	38
8846	ship, sailing, 'Santa Maria'	161
1718	college	24
9150	spring	76
519	female	98
12082	orchard	71
12945	Nuremberg, St Sebaldus's Church	107
4373	obelisk	21
5752	sacrifice	5731
3561	Germany	108
8355	gondolier	180
5427	lantern	85
2497	murder	147
600	couple	157
4479	courting	157
1840	shop	44
235	Venice, Piazetta	107
10370	Venice, Piazza San Marco, Pilastri Acritani	107
2299	ghost	138
2898	map	172
9811	canopy	82
10615	royalty: Louis-Phillipe, visit to Britain, Oct 1844	38
6220	whaler	117
7914	dusk	75
6171	mist	77
2982	sublime	30
1834	dawn	75
4582	shed	19
4308	foundry	19
1165	chimney	19
9809	copperworks	19
1561	farm	14
1133	goat	67
7715	medal	169
11001	ship, warship, 'Hampton Court'	161
6730	eroticism	157
12509	bluebell	72
5053	pigeon	62
9680	larch	1809
12294	pulley	86
2937	peers' robes	151
15834	exile	147
4015	dog, pug	67
1091	pipe	88
7076	victim	31
1662	actor / actress	118
627	riding	52
5733	angel	5731
3370	printmaking	51
929	document - non-specific	174
2793	artist, painter	118
6344	vagrancy	147
2790	artist, printmaker	118
6124	nostalgia	31
549	drinking	48
4702	aristocrat	869
6356	protests and unrest: Peep-o'-Day Boys, 18th c.	38
19604	light	70
2024	bow	90
1835	shopkeeper	180
2216	dagger / knife	90
1269	eating	48
5079	playwright	126
8158	sickle	79
5920	society: black history	38
20117	individuals: female	20114
6796	stages of life	146
2241	coat	88
2204	prison	44
6939	tourism	52
3475	dressing gown	88
1220	maid	119
4235	stocking	88
4394	synagogue	45
14712	social contrast - 'Dives and Lazarus' painting	8024
14716	period: 18th c.	38
5062	cravat	88
16462	eel buck	79
11545	flag, Denmark	287
1032	vegetable - non-specific	286
6761	good and evil	30
1966	rape	147
5928	royalty: Prince Regent, birthday, 12 Aug 1818	38
16338	royalty: Prince Regent, official birthday, 23 Apr	38
3854	recital	53
11986	rosary - necklace	165
5945	society: Walhalla temple, opening, 1842	38
4422	kennel	287
878	spear	90
12990	kennel	46
4429	robbery	147
3694	marquee	23
7391	politician, Member of Parliament	130
6306	print	80
17838	gratitude	31
2114	nun	120
6460	fancy dress / role play	153
1435	prince	869
1195	journalist	126
1278	instrument, horn	80
20116	self-portraits	20114
16356	war - monster	8024
3352	tea party	48
926	desk	82
3774	sheriff	130
447	hedge	72
8179	toll gate	24
5391	transfiguration	444
1889	collar	88
6435	trench	20
7335	rat-catcher	130
15817	period: Stuart dynasty, 1603-1714	38
6923	sanctuary	133
6725	innocence	31
844	rug	82
15699	geology	149
20118	individuals: male	20114
2123	politics: Jacobites, c.1688-1745	38
15787	dog, Spitz	67
1002	dog, spaniel	67
6351	iconoclasm	133
7042	period: Middle Ages	38
2470	persecution	158
11716	hope	31
553	flirtation	157
657	friendship	157
4132	swineherd	117
3296	pavement	28
14504	period: Regency, c.1811-20	38
4909	society: emigration, 19th c.	38
12093	soul - dove	165
15835	period: 17th c.	38
4730	story telling	52
5152	criminal	147
4961	trial	147
1750	picking flowers	52
3916	iceberg	73
6887	water pump	86
2514	parable	134
6282	violet	72
4067	sensuality	30
15875	death - woman	164
1946	lawyer	125
14396	youth - primrose	164
7842	lace	88
1196	author	126
4312	time	30
2946	mussel	65
16435	washing	61
6474	exotic	153
4766	stove	85
3548	philanthropist	130
1097	restraining	177
3974	sunflower	72
6912	sister	6904
14407	royalty: Lady Jane Grey, succession, 1553	38
2126	floating	92
795	horror	31
3440	instrument, cello	80
4755	instrument, double bass	80
8954	enchantment	138
21282	peasant	117
11426	royalty: Victoria, accession, 20 Jun 1837	38
760	jacket	88
3701	surgeon	127
4607	leopard	67
3375	portfolio	80
774	fruit - non-specific	286
4222	fruit, grape	286
5066	fruit, nut	286
3697	fruit, peach	286
2158	crown	169
6566	restauranteur	180
6374	lizard	68
13553	peace	30
706	politician, Foreign Secretary	130
4793	railway station	24
672	camel	67
2209	contemplation	31
1491	pointing	177
1244	stick	287
15842	Seddon, John Pollard, 'Progress in Art and Architecture'	58
16627	sheep-shearing	117
2789	charity	156
9967	loom	86
8730	purity - lily	163
1109	train	160
1890	ruff	88
3652	tiger	67
8531	roaring	61
737	pillow	82
7349	mourning dress	151
1122	obesity	178
5110	bow	88
1436	cardinal	120
1821	nanny	119
2988	dancer	118
8097	war - serpent	8024
4384	refugee	155
752	instrument, lute	80
2499	fan	88
1778	gypsy	179
6738	sensuality	157
3911	orange	1809
4656	verandah	17
6056	orgy	157
1374	critic	126
1078	mirror	82
3793	chess board	285
3176	chess piece	285
5714	sexton	120
6953	stretcher	171
2838	haystack	79
4660	wolf	67
7046	boredom	31
5147	suicide	146
1344	punishment	147
5272	tar	287
2744	material world - half-buried figures	1030
1431	contrition - step of rough stone	163
1429	love - step of porphyry	163
1432	sincerity - step of marble	163
554	morality	158
1755	memorial	146
16431	ship, warship, 'HMS Repulse'	161
16430	ship, warship, 'HMS Tiger'	161
3608	music room	41
1936	washing line	83
7146	garter	88
1120	glove	88
5074	horse racing	54
2520	serenity	31
661	model	118
12602	scientist	121
1780	resurrection	133
4703	court dress	151
4816	conductor	118
5413	tent	41
5054	feeding	61
19548	rag and bone	180
7048	rowing	54
2389	kite flying	52
12993	golf course	23
13265	club	23
9210	steam	70
6906	daughter	6904
6911	mother	6904
5576	cheese dish	84
4217	cutlery	84
19665	glass	84
17173	hope - young girl	163
1659	zebra	67
5052	execution	147
6745	rhythm	6729
671	elephant	67
4416	instrument, bagpipes	80
11425	tunic	88
2153	fairy	138
931	garland	72
16313	ship, warship, 'St Vincent'	161
3259	curator	118
1071	table cloth	82
6631	youth - pipe	164
4929	cormorant	62
4314	squirrel	67
1228	lily	72
5387	poppy	72
8422	knitting	51
14379	salmon trap	79
505	barn	14
12711	tug of war	54
8661	ice skating	52
6478	period: Tudor dynasty, 1485-1603	38
232	freedom	158
16595	nature - fruit	8026
15640	Mongolian	183
816	sheet music	80
4395	rabbi	120
5449	make-up	88
19025	sea lion	65
6613	fruit-pressing	117
3211	bathroom	41
2404	dressing table	82
927	book - non-specific	174
8485	fern	72
12793	jaguar	67
4664	puma	67
4665	antelope	67
4636	vulture	62
3502	tusk	64
4918	rugby	54
5598	fair	53
18863	organisation: British Museum Reading Room, London, renovation, 1907	18725
5904	royalty: Kaiser Friedrich III, memorial service, 1888	38
3687	spinning	124
4297	wheel	160
8220	monogram	166
9278	instrument, tambourine	80
14349	instrument, zither	80
19582	period: Aztec civilization	38
15641	Indonesian	183
2019	scroll	174
4510	circus	43
2989	gardening	117
4710	gambling	52
1473	shop	24
5309	cyclamen	72
1127	farmer	117
4552	wedding dress	151
647	isolation	31
16047	hunter	117
3185	seduction	157
5732	patient	156
18425	di Duccio, Agostino, sculpture	10639
14392	sultana	869
7164	toasting	48
764	dining room	41
15963	window box	79
5111	drawing	80
1287	drawing board	80
11193	sketchbook	80
1861	instrument, piano	80
3878	music stand	80
4771	mystery	30
6093	spade	89
1136	livestock pen	14
1140	tractor	160
6480	trailer	160
14723	laundry	46
2534	grave	28
12923	vanity - mirror and mask	163
1978	trident	90
6166	humanity - child resting in giant hand	1030
2318	worm	66
12600	mathematician	121
1276	harlequin	153
2719	jockey	123
3244	railway	28
9428	midwife	127
224	organic	189
2329	toad	65
258	pliers	86
1851	skull	64
7643	cleaning	119
